id,name,description
Q47553,Ishtar,"East Semitic Akkadian, Assyrian and Babylonian goddess of fertility, love, war, and sex"
Q130227,Aten,ancient Egyptian god
Q133343,Hathor,major goddess in ancient Egyptian religion
Q1061795,Chandra,lunar god in Hinduism
Q131474,Freyr,"Norse god associated with kingship, fertility, peace, prosperity, fair weather, and good harvest"
Q131575,Hecate,Greek goddess
Q131585,Selene,"ancient Greek goddess and personification of the Moon, daugther of Hyperion and Theia"
Q147914,Svetovit,god of Polabian Slavs
Q153588,Men,god worshipped in the western interior parts of Anatolia
Q188618,Hanuman,"11th incarnation of God, Great devotee of Rama, Hindu God of strength, learning, and devotion"
Q188676,Garuda,"eagle-like divine bird in Hinduism, Buddhism and Jainism"
Q188931,Bes,Egyptian deity
Q190123,Marduk,national god of the Babylonians
Q191114,Sita,"Hindu goddess; Rama's consort and eternal companion, incarnation of Lakshmi"
Q202011,Dhanvantari,God of medicine and physician of the gods
Q204418,Surya,solar god in Hinduism
Q206878,Priapus,ancient Greek deity
Q572235,Shukra,"Planet Venus, also a Hindu deity"
Q623065,Dagon,Canaanite god of prosperity and father of gods
Q638964,Khandoba,"Gadaria Mahadev is an incarnation of the deity Lord Shiva, who is worshiped as Khandoba in western India."
Q667840,Dievas,deity
Q676297,Arma,ancient Anatolian lunar deity
Q696702,Vamana,dwarf avatar of Vishnu
Q715162,Guan Yin,Chinese name of the bodhisattva Avalokiteśvara
Q877405,Tanit,"Canaanite, Phoenician and Punic moon goddess"
Q946657,Iah,Egyptian moon god
Q1001037,Varuna,"deity associated with waters in Hinduism, Buddhism"
Q1061795,Chandra,lunar god in Hinduism
Q2910190,Bonkers D. Bobcat,Bonkers character
Q3056199,Peg Powler,hag and water spirit in English folklore
Q3267913,Sack Man,type of mythical character said to carry naughty children away in bags
Q3276134,Red Boy,Journey to the West character
Q3502147,Blud,fairy in Slavic mythology
Q3778408,Seonaidh,water spirit from the Scottish Hebrides
Q4066473,Anki-Kiele,water spirit in Chukchi mythology
Q4090908,bolotnik,"the owner of the marshes, the Slavs, tutelary deity"
Q6403792,Kianda,"In Angolan mythology, Kianda is the goddess of the sea and protector of fishermen."
Q122922090,665,fictional character from The Eminence in Shadow
Q122926470,Victoria,fictional character from The Eminence in Shadow
Q123451706,Reszurre,
Q123580500,Louisa,fictional character from Tsukimichi: Moonlit Fantasy
Q124691263,Thistle,fictional character from Delicious in Dungeon
Q126415150,Elmesia El Ru Sarion,fictional character from That Time I Got Reincarnated as a Slime
Q126887989,Mithrun,fictional character from Delicious in Dungeon
Q126887997,Lycion,fictional character from Delicious in Dungeon
Q126888003,Pattadol,fictional character from Delicious in Dungeon
Q126888010,Cithis Ofri,fictional character from Delicious in Dungeon
Q126888015,Otta,fictional character from Delicious in Dungeon
