name,normalized_name,description,type,source,source_id,language_hint,romanized,alias_of,confidence
Mercedes,mercedes,playable character from the game MapleStory,fictional_character,wikidata_fictional_characters_en,Q105708636,en_romanized,true,,0.92
Elinalise Dragonroad,elinalise dragonroad,fictional character from Mushoku Tensei,fictional_character,wikidata_fictional_characters_en,Q106066574,en_romanized,true,,0.92
Hedin Selland,hedin selland,fictional character from Is It Wrong to Try to Pick Up Girls in a Dungeon?,fictional_character,wikidata_fictional_characters_en,Q106699856,en_romanized,true,,0.92
Kyouka,kyouka,fictional character from Princess Connect!,fictional_character,wikidata_fictional_characters_en,Q106947206,en_romanized,true,,0.92
Misato,misato,fictional character from Princess Connect!,fictional_character,wikidata_fictional_characters_en,Q106949254,en_romanized,true,,0.92
Aoi,aoi,fictional character from Princess Connect!,fictional_character,wikidata_fictional_characters_en,Q106949255,en_romanized,true,,0.92
Hatsune,hatsune,fictional character from Princess Connect!,fictional_character,wikidata_fictional_characters_en,Q106949257,en_romanized,true,,0.92
Saren,saren,fictional character from Princess Connect!,fictional_character,wikidata_fictional_characters_en,Q106957681,en_romanized,true,,0.92
Yukari,yukari,fictional character from Princess Connect!,fictional_character,wikidata_fictional_characters_en,Q106992844,en_romanized,true,,0.92
Yuki,yuki,fictional character from Princess Connect!,fictional_character,wikidata_fictional_characters_en,Q107001854,en_romanized,true,,0.92
Ayumi,ayumi,fictional character from Princess Connect!,fictional_character,wikidata_fictional_characters_en,Q107001853,en_romanized,true,,0.92
Neneka,neneka,fictional character from Princess Connect!,fictional_character,wikidata_fictional_characters_en,Q107001957,en_romanized,true,,0.92
Chloe,chloe,fictional character from Princess Connect! Re:Dive,fictional_character,wikidata_fictional_characters_en,Q107002103,en_romanized,true,,0.92
Pigwiggin,pigwiggin,"fictional character, an elf in love with Queen Mab who fights the jealous Oberon in furious combat",fictional_character,wikidata_fictional_characters_en,Q107295563,en_romanized,true,,0.92
Artemis,artemis,goddess of the hunt and the wild in ancient Greek religion and mythology,fictional_character,wikidata_fictional_characters_en,Q39503,en_romanized,true,,0.92
Venus,venus,"Roman goddess of love, sexuality, procreation and pleasure",fictional_character,wikidata_fictional_characters_en,Q47652,en_romanized,true,,0.92
Astarte,astarte,"Middle Eastern goddess, worshipped from the Bronze Age through classical antiquity",fictional_character,wikidata_fictional_characters_en,Q130274,en_romanized,true,,0.92
Hathor,hathor,major goddess in ancient Egyptian religion,fictional_character,wikidata_fictional_characters_en,Q133343,en_romanized,true,,0.92
Aryaman,aryaman,Hindu god mentioned in the Rig Veda,fictional_character,wikidata_fictional_characters_en,Q145664,en_romanized,true,,0.92
Parvati,parvati,"Hindu goddess of fertility, motherly love and devotion",fictional_character,wikidata_fictional_characters_en,Q170485,en_romanized,true,,0.92
Jiutou Zhiji Jing,jiutou zhiji jing,yaoguai,fictional_character,wikidata_fictional_characters_en,Q1089259,en_romanized,true,,0.92
Mare,mare,malicious entity in folklore,fictional_character,wikidata_fictional_characters_en,Q1262457,en_romanized,true,,0.92
Knecht Ruprecht,knecht ruprecht,companion of Saint Nicholas in the folklore of Germany,fictional_character,wikidata_fictional_characters_en,Q1402637,en_romanized,true,,0.92
Mashya and Mashyana,mashya and mashyana,the first man and woman in Zoroastrian cosmogony,fictional_character,wikidata_fictional_characters_en,Q1527802,en_romanized,true,,0.92
